player_type,team,opponent,player_name,mlb_id,lineup_spot,pos,lineup_status,proj_pa,proj_ip,proj_outs,proj_runs_allowed,proj_hits_allowed,proj_strikeouts,proj_walks,proj_hits,proj_runs,proj_rbi,proj_hrrbi,proj_hr,used_fallback,confidence_score,proj_pa_confidence_score,proj_hits_confidence_score,proj_hr_confidence_score,proj_strikeouts_confidence_score,proj_runs_confidence_score,proj_rbi_confidence_score,proj_hrrbi_confidence_score,proj_walks_confidence_score,confidence,proj_pa_confidence,proj_hits_confidence,proj_hr_confidence,proj_strikeouts_confidence,proj_runs_confidence,proj_rbi_confidence,proj_hrrbi_confidence,proj_walks_confidence,game_date
pitcher,PIT,MIA,Braxton Ashcraft,677952,,,,,5.65,17.0,2.3,4.34,6.1,1.8,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-12
pitcher,MIA,PIT,Sandy Alcantara,645261,,,,,5.48,16.0,2.57,5.05,4.87,1.78,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-12
pitcher,WSH,SEA,Zack Littell,641793,,,,,5.21,16.0,2.66,4.64,4.0,1.86,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-12
pitcher,SEA,WSH,Bryce Miller,682243,,,,,5.34,16.0,2.68,4.76,4.79,2.08,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-12
pitcher,BAL,SD,Shane Baz,669358,,,,,5.55,17.0,2.75,4.93,5.86,2.61,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-12
pitcher,SD,BAL,Griffin Canning,656288,,,,,5.17,16.0,2.44,4.25,5.46,2.22,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-12
pitcher,CLE,DET,Tanner Bibee,676440,,,,,5.17,16.0,2.46,4.32,4.98,2.13,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-12
pitcher,DET,CLE,Jack Flaherty,656427,,,,,5.17,16.0,2.39,4.07,5.79,2.24,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-12
pitcher,BOS,TEX,Sonny Gray,543243,,,,,5.11,15.0,2.46,4.37,4.38,1.88,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-12
pitcher,TEX,BOS,Jack Leiter,683004,,,,,5.52,17.0,2.55,4.56,5.43,2.28,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-12
pitcher,CIN,AZ,Nick Lodolo,666157,,,,,5.2,16.0,2.41,4.63,4.84,1.64,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-12
pitcher,AZ,CIN,Eduardo Rodriguez,593958,,,,,5.56,17.0,2.42,4.4,5.32,2.13,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-12
pitcher,NYM,ATL,Nolan McLean,690997,,,,,5.51,17.0,2.21,4.24,7.45,1.66,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-12
pitcher,ATL,NYM,Spencer Strider,675911,,,,,5.27,16.0,2.35,4.12,5.73,2.07,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-12
pitcher,TOR,NYY,Trey Yesavage,702056,,,,,5.13,15.0,2.41,4.14,5.46,2.22,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-12
pitcher,NYY,TOR,Ryan Weathers,677960,,,,,5.51,17.0,2.25,4.28,6.61,1.64,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-12
pitcher,CWS,LAD,Anthony Kay,641743,,,,,5.18,16.0,2.46,4.41,4.81,1.95,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-12
pitcher,LAD,CWS,Roki Sasaki,808963,,,,,5.25,16.0,2.67,4.9,5.15,2.14,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-12
pitcher,MIL,PHI,Jacob Misiorowski,694819,,,,,5.49,16.0,2.14,4.02,7.21,1.65,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-12
pitcher,HOU,KC,Tatsuya Imai,837227,,,,,5.23,16.0,2.48,4.53,4.52,2.06,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-12
pitcher,MIN,STL,Joe Ryan,657746,,,,,5.05,15.0,2.26,4.13,5.64,1.86,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-12
pitcher,STL,MIN,Kyle Leahy,681517,,,,,5.11,15.0,2.56,4.77,4.86,1.89,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-12
pitcher,TB,LAA,Shane McClanahan,663556,,,,,5.22,16.0,2.3,4.27,5.92,1.83,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-12
pitcher,SF,CHC,Landen Roupp,694738,,,,,5.37,16.0,2.29,4.05,6.41,2.07,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-12
