player_type,team,opponent,player_name,mlb_id,lineup_spot,pos,lineup_status,proj_pa,proj_ip,proj_outs,proj_runs_allowed,proj_hits_allowed,proj_strikeouts,proj_walks,proj_hits,proj_runs,proj_rbi,proj_hrrbi,proj_hr,used_fallback,confidence_score,proj_pa_confidence_score,proj_hits_confidence_score,proj_hr_confidence_score,proj_strikeouts_confidence_score,proj_runs_confidence_score,proj_rbi_confidence_score,proj_hrrbi_confidence_score,proj_walks_confidence_score,confidence,proj_pa_confidence,proj_hits_confidence,proj_hr_confidence,proj_strikeouts_confidence,proj_runs_confidence,proj_rbi_confidence,proj_hrrbi_confidence,proj_walks_confidence,game_date
pitcher,TOR,PIT,Dylan Cease,656302,,,,,5.26,16.0,2.56,4.42,6.74,1.91,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-24
pitcher,PIT,TOR,Mitch Keller,656605,,,,,5.24,16.0,2.61,5.14,4.43,1.57,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-24
pitcher,BAL,DET,Brandon Young,687064,,,,,5.13,15.0,2.64,5.04,4.35,1.94,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-24
pitcher,DET,BAL,Framber Valdez,664285,,,,,5.07,15.0,2.77,5.04,4.87,2.02,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-24
pitcher,BAL,DET,Trevor Rogers,669432,,,,,4.36,13.0,2.3,4.35,4.0,1.88,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-24
pitcher,BOS,MIN,Sonny Gray,543243,,,,,4.32,13.0,2.52,4.6,3.99,1.56,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-24
pitcher,MIN,BOS,Bailey Ober,641927,,,,,5.27,16.0,2.68,5.36,4.78,1.67,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-24
pitcher,PHI,CLE,Andrew Painter,691725,,,,,4.64,14.0,2.37,4.36,3.99,1.73,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-24
pitcher,CLE,PHI,Parker Messick,800048,,,,,5.31,16.0,2.38,4.44,5.92,1.62,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-24
pitcher,NYY,TB,Ryan Weathers,677960,,,,,5.2,16.0,2.29,4.27,6.42,1.6,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-24
pitcher,TB,NYY,Drew Rasmussen,656876,,,,,5.16,15.0,2.28,4.28,6.36,1.39,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-24
pitcher,NYM,MIA,Christian Scott,681035,,,,,4.83,14.0,2.18,3.64,5.87,1.94,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-24
pitcher,KC,SEA,Seth Lugo,607625,,,,,5.1,15.0,2.69,4.9,4.4,1.72,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-24
pitcher,SEA,KC,Bryan Woo,693433,,,,,5.23,16.0,2.55,4.7,5.03,1.48,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-24
pitcher,MIL,LAD,Brandon Sproat,687075,,,,,4.67,14.0,2.33,4.06,4.95,2.02,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-24
pitcher,LAD,MIL,Yoshinobu Yamamoto,808967,,,,,5.58,17.0,2.39,4.79,7.09,1.57,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-24
pitcher,CHC,HOU,Shota Imanaga,684007,,,,,5.5,16.0,2.55,5.07,5.42,1.5,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-24
pitcher,HOU,CHC,Peter Lambert,663567,,,,,4.94,15.0,2.53,4.39,5.01,2.04,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-24
pitcher,SF,CWS,Robbie Ray,592662,,,,,4.91,15.0,2.44,4.55,4.57,2.05,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-24
pitcher,CWS,SF,Noah Schultz,702273,,,,,4.76,14.0,2.32,4.16,4.63,1.92,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-24
pitcher,AZ,COL,Ryne Nelson,669194,,,,,5.18,16.0,2.34,4.57,5.85,1.44,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-24
pitcher,COL,AZ,Jose Quintana,500779,,,,,4.41,13.0,2.86,5.36,3.23,1.79,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-24
pitcher,SD,ATH,Michael King,650633,,,,,5.2,16.0,2.63,4.63,4.95,2.06,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-24
pitcher,ATL,WSH,Martín Pérez,527048,,,,,3.89,12.0,2.02,3.48,4.22,1.48,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-24
pitcher,WSH,ATL,Foster Griffin,656492,,,,,5.33,16.0,2.62,5.05,5.16,1.66,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-24
pitcher,LAA,TEX,Reid Detmers,672282,,,,,4.96,15.0,2.46,4.61,4.9,1.76,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-24
pitcher,TEX,LAA,MacKenzie Gore,669022,,,,,5.17,15.0,2.58,4.63,5.59,2.07,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-24
hitter,TOR,PIT,George Springer,543807,1.0,DH,Confirmed,3.79,,,,,0.71,0.17,0.76,0.42,0.35,1.53,0.15,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-05-24
hitter,TOR,PIT,Daulton Varsho,662139,2.0,CF,Confirmed,3.68,,,,,0.72,0.19,0.58,0.33,0.26,1.18,0.11,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-05-24
hitter,TOR,PIT,Vladimir Guerrero Jr.,665489,3.0,1B,Confirmed,3.92,,,,,0.47,0.19,0.81,0.45,0.43,1.69,0.16,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-05-24
hitter,TOR,PIT,Yohendrick Piñango,682818,4.0,LF,Confirmed,3.17,,,,,0.5,0.2,0.63,0.34,0.3,1.27,0.09,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-05-24
hitter,TOR,PIT,Jesús Sánchez,660821,5.0,RF,Confirmed,2.82,,,,,0.53,0.15,0.5,0.27,0.24,1.0,0.07,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-05-24
hitter,TOR,PIT,Kazuma Okamoto,672960,6.0,3B,Confirmed,3.83,,,,,0.84,0.25,0.75,0.4,0.43,1.58,0.2,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-05-24
hitter,TOR,PIT,Ernie Clement,676391,7.0,2B,Confirmed,3.41,,,,,0.45,0.19,0.69,0.32,0.28,1.28,0.09,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-05-24
hitter,TOR,PIT,Andrés Giménez,665926,8.0,SS,Confirmed,2.97,,,,,0.52,0.09,0.5,0.22,0.21,0.93,0.06,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-05-24
hitter,TOR,PIT,Brandon Valenzuela,678218,9.0,C,Confirmed,3.18,,,,,0.63,0.23,0.56,0.29,0.25,1.1,0.1,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-05-24
hitter,PIT,TOR,Spencer Horwitz,687462,1.0,1B,Confirmed,3.53,,,,,0.94,0.63,0.58,0.46,0.32,1.35,0.19,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-05-24
hitter,PIT,TOR,Brandon Lowe,664040,2.0,2B,Confirmed,4.6,,,,,1.62,0.59,0.81,0.58,0.44,1.83,0.25,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-05-24
hitter,PIT,TOR,Bryan Reynolds,668804,3.0,LF,Confirmed,4.01,,,,,1.41,0.62,0.75,0.5,0.39,1.64,0.14,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-05-24
hitter,PIT,TOR,Nick Gonzales,693304,4.0,3B,Confirmed,4.48,,,,,0.93,0.41,0.83,0.47,0.39,1.69,0.11,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-05-24
hitter,PIT,TOR,Oneil Cruz,665833,5.0,DH,Confirmed,4.6,,,,,2.02,0.62,0.81,0.69,0.65,2.15,0.43,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-05-24
hitter,PIT,TOR,Endy Rodríguez,682848,6.0,C,Confirmed,3.64,,,,,1.25,0.61,0.68,0.44,0.41,1.52,0.2,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-05-24
hitter,PIT,TOR,Esmerlyn Valdez,699013,7.0,RF,Confirmed,2.28,,,,,0.98,0.3,0.38,0.24,0.21,0.83,0.12,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-05-24
hitter,PIT,TOR,Jake Mangum,663968,8.0,RF,Confirmed,2.82,,,,,1.1,0.36,0.49,0.28,0.22,0.98,0.09,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-05-24
hitter,PIT,TOR,Jared Triolo,669707,9.0,SS,Confirmed,3.05,,,,,1.19,0.32,0.52,0.28,0.23,1.03,0.09,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-05-24
hitter,BAL,DET,Taylor Ward,621493,1.0,DH,Confirmed,4.31,,,,,0.91,0.52,0.71,0.4,0.25,1.35,0.03,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-05-24
hitter,BAL,DET,Gunnar Henderson,683002,2.0,SS,Confirmed,4.72,,,,,0.97,0.53,0.96,0.51,0.35,1.81,0.05,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-05-24
hitter,BAL,DET,Adley Rutschman,668939,3.0,C,Confirmed,4.71,,,,,0.75,0.51,0.96,0.51,0.39,1.86,0.05,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-05-24
hitter,BAL,DET,Pete Alonso,624413,4.0,1B,Confirmed,4.69,,,,,0.85,0.53,0.91,0.51,0.4,1.83,0.08,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-05-24
hitter,BAL,DET,Tyler O'Neill,641933,5.0,RF,Confirmed,4.23,,,,,0.7,0.49,0.82,0.45,0.34,1.61,0.05,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-05-24
hitter,BAL,DET,Weston Wilson,642215,6.0,3B,Confirmed,2.45,,,,,0.64,0.35,0.35,0.19,0.15,0.68,0.03,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-05-24
hitter,BAL,DET,Leody Taveras,665750,7.0,CF,Confirmed,4.01,,,,,0.69,0.51,0.88,0.41,0.32,1.61,0.05,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-05-24
hitter,BAL,DET,Jeremiah Jackson,669236,8.0,2B,Confirmed,4.42,,,,,0.63,0.38,0.91,0.41,0.33,1.66,0.05,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-05-24
hitter,BAL,DET,Blaze Alexander,677942,9.0,LF,Confirmed,3.23,,,,,0.74,0.34,0.63,0.29,0.22,1.14,0.02,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-05-24
hitter,DET,BAL,Zach McKinstry,656716,1.0,2B,Confirmed,3.31,,,,,0.59,0.27,0.8,0.4,0.3,1.5,0.06,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-05-24
hitter,DET,BAL,Kevin McGonigle,805808,2.0,3B,Confirmed,5.02,,,,,0.72,0.77,1.06,0.65,0.44,2.15,0.14,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-05-24
hitter,DET,BAL,Dillon Dingler,693307,3.0,DH,Confirmed,4.69,,,,,0.91,0.58,1.03,0.64,0.54,2.21,0.2,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-05-24
hitter,DET,BAL,Riley Greene,682985,4.0,LF,Confirmed,4.72,,,,,1.01,0.87,1.04,0.7,0.55,2.28,0.2,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-05-24
hitter,DET,BAL,Matt Vierling,663837,5.0,CF,Confirmed,4.66,,,,,0.64,0.66,1.03,0.62,0.5,2.15,0.15,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-05-24
hitter,DET,BAL,Colt Keith,690993,6.0,1B,Confirmed,3.01,,,,,0.68,0.25,0.63,0.3,0.29,1.22,0.08,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-05-24
hitter,DET,BAL,Wenceel Pérez,672761,7.0,RF,Confirmed,3.32,,,,,0.53,0.37,0.73,0.36,0.29,1.38,0.08,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-05-24
hitter,DET,BAL,Jake Rogers,668670,8.0,C,Confirmed,3.3,,,,,0.67,0.39,0.61,0.32,0.25,1.17,0.08,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-05-24
hitter,DET,BAL,Zack Short,670097,9.0,SS,Confirmed,2.15,,,,,0.63,0.32,0.38,0.21,0.15,0.74,0.04,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-05-24
hitter,BAL,DET,Taylor Ward,621493,1.0,LF,Confirmed,4.31,,,,,0.91,0.52,0.71,0.4,0.25,1.35,0.03,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-05-24
hitter,BAL,DET,Gunnar Henderson,683002,2.0,SS,Confirmed,4.72,,,,,0.97,0.53,0.96,0.51,0.35,1.81,0.05,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-05-24
hitter,BAL,DET,Adley Rutschman,668939,3.0,DH,Confirmed,4.71,,,,,0.75,0.51,0.96,0.51,0.39,1.86,0.05,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-05-24
hitter,BAL,DET,Pete Alonso,624413,4.0,1B,Confirmed,4.69,,,,,0.85,0.53,0.91,0.51,0.4,1.83,0.08,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-05-24
