fetched_at,game_date,home_team,away_team,commence_time,sportsbook,market,player_name,line,over_odds,under_odds,mlb_id,kind,proj_value,p_over_model,p_over_no_vig,edge_over,edge_under,ev_over,ev_under,side,ev,flag,score,confidence_weight,confidence_score
2026-05-24 01:57 ET,2026-05-24,Toronto Blue Jays,Pittsburgh Pirates,2026-05-24T16:16:00Z,draftkings,batter_rbis,Konnor Griffin,0.5,233,-337,804606.0,hitter,0.52,0.4055,0.2803,0.1252,-0.1252,0.3502,-0.2291,OVER,0.3502,REVIEW,0.3853,1.1,96
2026-05-24 01:57 ET,2026-05-24,Baltimore Orioles,Detroit Tigers,2026-05-24T16:36:00Z,draftkings,batter_total_bases,Adley Rutschman,1.5,125,-166,668939.0,hitter,0.673,0.1575,0.4159,-0.2584,0.2584,-0.6455,0.35,UNDER,0.35,REVIEW,0.385,1.1,96
2026-05-24 01:57 ET,2026-05-24,Miami Marlins,New York Mets,2026-05-24T17:41:00Z,draftkings,batter_hits,Joe Mack,0.5,-110,-120,691788.0,hitter,0.35,0.2637,0.4899,-0.2262,0.2262,-0.4966,0.3499,UNDER,0.3499,REVIEW,0.3849,1.1,96
2026-05-24 01:57 ET,2026-05-24,New York Yankees,Tampa Bay Rays,2026-05-24T17:36:00Z,draftkings,batter_hits,Ryan McMahon,0.5,-106,-125,641857.0,hitter,0.34,0.2571,0.4808,-0.2237,0.2237,-0.5003,0.3372,UNDER,0.3372,REVIEW,0.3709,1.1,96
2026-05-24 01:57 ET,2026-05-24,Baltimore Orioles,Detroit Tigers,2026-05-24T16:36:00Z,draftkings,batter_total_bases,Taylor Ward,1.5,130,-173,621493.0,hitter,0.663,0.1545,0.4069,-0.2524,0.2524,-0.6446,0.3342,UNDER,0.3342,REVIEW,0.3676,1.1,96
2026-05-24 01:57 ET,2026-05-24,Baltimore Orioles,Detroit Tigers,2026-05-24T16:36:00Z,draftkings,batter_total_bases,Kevin McGonigle,1.5,141,-189,805808.0,hitter,0.58,0.1292,0.3882,-0.259,0.259,-0.6887,0.3316,UNDER,0.3316,REVIEW,0.3647,1.1,96
2026-05-24 01:57 ET,2026-05-24,Toronto Blue Jays,Pittsburgh Pirates,2026-05-24T16:16:00Z,draftkings,batter_hits,Vladimir Guerrero Jr.,0.5,-256,188,665489.0,hitter,0.89,0.5408,0.6744,-0.1335,0.1335,-0.2479,0.3224,UNDER,0.3224,REVIEW,0.3546,1.1,96
2026-05-24 01:57 ET,2026-05-24,Toronto Blue Jays,Pittsburgh Pirates,2026-05-24T16:16:00Z,draftkings,batter_runs_scored,Spencer Horwitz,0.5,176,-248,687462.0,hitter,0.65,0.478,0.3371,0.1409,-0.1409,0.3192,-0.2675,OVER,0.3192,REVIEW,0.3511,1.1,96
2026-05-24 01:57 ET,2026-05-24,Kansas City Royals,Seattle Mariners,2026-05-24T18:11:00Z,draftkings,batter_total_bases,Randy Arozarena,1.5,125,-167,668227.0,hitter,2.09,0.5808,0.4154,0.1654,-0.1654,0.3067,-0.3297,OVER,0.3067,REVIEW,0.3374,1.1,96
2026-05-24 01:57 ET,2026-05-24,Boston Red Sox,Minnesota Twins,2026-05-24T17:36:00Z,draftkings,batter_total_bases,Austin Martin,1.5,140,-187,668885.0,hitter,0.65,0.1504,0.3901,-0.2397,0.2397,-0.639,0.3039,UNDER,0.3039,REVIEW,0.3343,1.1,96
2026-05-24 01:57 ET,2026-05-24,Toronto Blue Jays,Pittsburgh Pirates,2026-05-24T16:16:00Z,draftkings,batter_rbis,Jake Mangum,0.5,295,-438,663968.0,hitter,0.4,0.3297,0.2372,0.0925,-0.0925,0.3022,-0.1766,OVER,0.3022,REVIEW,0.3325,1.1,96
2026-05-24 01:57 ET,2026-05-24,Kansas City Royals,Seattle Mariners,2026-05-24T18:11:00Z,draftkings,batter_total_bases,Bobby Witt Jr.,1.5,-108,-123,677951.0,hitter,1.065,0.2831,0.4849,-0.2018,0.2018,-0.4548,0.2998,UNDER,0.2998,VALUE,0.3298,1.1,96
2026-05-24 01:57 ET,2026-05-24,Boston Red Sox,Minnesota Twins,2026-05-24T17:36:00Z,draftkings,batter_total_bases,Josh Bell,1.5,141,-189,605137.0,hitter,0.65,0.1504,0.3882,-0.2378,0.2378,-0.6375,0.2991,UNDER,0.2991,VALUE,0.329,1.1,96
2026-05-24 01:57 ET,2026-05-24,Toronto Blue Jays,Pittsburgh Pirates,2026-05-24T16:16:00Z,draftkings,batter_runs_scored,Kazuma Okamoto,0.5,118,-163,672960.0,hitter,0.22,0.1975,0.4253,-0.2279,0.2279,-0.5695,0.2949,UNDER,0.2949,VALUE,0.3243,1.1,96
2026-05-24 01:57 ET,2026-05-24,Milwaukee Brewers,Los Angeles Dodgers,2026-05-24T18:11:00Z,draftkings,batter_hits,Joey Ortiz,0.5,-126,-105,687401.0,hitter,0.47,0.337,0.5212,-0.1841,0.1841,-0.3955,0.2944,UNDER,0.2944,VALUE,0.3238,1.1,96
2026-05-24 01:57 ET,2026-05-24,Milwaukee Brewers,Los Angeles Dodgers,2026-05-24T18:11:00Z,draftkings,batter_total_bases,Jackson Chourio,1.5,133,-178,694192.0,hitter,0.74,0.1785,0.4013,-0.2228,0.2228,-0.5842,0.2831,UNDER,0.2831,VALUE,0.3114,1.1,96
2026-05-24 01:57 ET,2026-05-24,Chicago Cubs,Houston Astros,2026-05-24T18:21:00Z,draftkings,batter_hits,Cam Smith,0.5,-125,-106,701358.0,hitter,1.4,0.7061,0.5192,0.1869,-0.1869,0.2709,-0.4288,OVER,0.2709,VALUE,0.298,1.1,96
2026-05-24 01:57 ET,2026-05-24,Atlanta Braves,Washington Nationals,2026-05-24T20:11:00Z,draftkings,batter_total_bases,Austin Riley,1.5,121,-161,663586.0,hitter,2.066,0.5749,0.4231,0.1518,-0.1518,0.2706,-0.3109,OVER,0.2706,VALUE,0.2976,1.1,96
2026-05-24 01:57 ET,2026-05-24,Chicago Cubs,Houston Astros,2026-05-24T18:21:00Z,draftkings,batter_hits,Nico Hoerner,0.5,-217,161,663538.0,hitter,0.84,0.5202,0.6411,-0.1209,0.1209,-0.24,0.2522,UNDER,0.2522,VALUE,0.2774,1.1,96
2026-05-24 01:57 ET,2026-05-24,New York Yankees,Tampa Bay Rays,2026-05-24T17:36:00Z,draftkings,batter_hits,Austin Wells,0.5,107,-142,669224.0,hitter,0.369,0.2758,0.4515,-0.1757,0.1757,-0.4291,0.2342,UNDER,0.2342,VALUE,0.2576,1.1,96
2026-05-24 01:57 ET,2026-05-24,Toronto Blue Jays,Pittsburgh Pirates,2026-05-24T16:16:00Z,draftkings,batter_runs_scored,Konnor Griffin,0.5,182,-257,804606.0,hitter,0.57,0.4345,0.33,0.1045,-0.1045,0.2252,-0.2144,OVER,0.2252,VALUE,0.2477,1.1,96
2026-05-24 01:57 ET,2026-05-24,Milwaukee Brewers,Los Angeles Dodgers,2026-05-24T18:11:00Z,draftkings,batter_hits,William Contreras,0.5,-188,141,661388.0,hitter,1.83,0.7982,0.6114,0.1868,-0.1868,0.2228,-0.5136,OVER,0.2228,VALUE,0.245,1.1,96
2026-05-24 01:57 ET,2026-05-24,Kansas City Royals,Seattle Mariners,2026-05-24T18:11:00Z,draftkings,batter_hits,Randy Arozarena,0.5,-243,180,668227.0,hitter,0.95,0.5643,0.6648,-0.1005,0.1005,-0.2035,0.2199,UNDER,0.2199,VALUE,0.2419,1.1,96
2026-05-24 01:57 ET,2026-05-24,Atlanta Braves,Washington Nationals,2026-05-24T20:11:00Z,draftkings,batter_hits,Matt Olson,0.5,-235,174,621566.0,hitter,0.934,0.5582,0.6578,-0.0995,0.0995,-0.2042,0.2104,UNDER,0.2104,VALUE,0.2315,1.1,96
2026-05-24 01:57 ET,2026-05-24,Toronto Blue Jays,Pittsburgh Pirates,2026-05-24T16:16:00Z,draftkings,batter_hits,George Springer,0.5,-226,168,543807.0,hitter,0.91,0.5488,0.6501,-0.1013,0.1013,-0.2084,0.2092,UNDER,0.2092,VALUE,0.2301,1.1,96
2026-05-24 01:57 ET,2026-05-24,Philadelphia Phillies,Cleveland Guardians,2026-05-24T17:36:00Z,draftkings,batter_total_bases,Trea Turner,1.5,109,-145,607208.0,hitter,1.072,0.2855,0.447,-0.1615,0.1615,-0.4033,0.2072,UNDER,0.2072,VALUE,0.228,1.1,96
2026-05-24 01:57 ET,2026-05-24,Milwaukee Brewers,Los Angeles Dodgers,2026-05-24T18:11:00Z,draftkings,batter_total_bases,Shohei Ohtani,1.5,102,-135,660271.0,hitter,2.16,0.5975,0.4629,0.1347,-0.1347,0.207,-0.2994,OVER,0.207,VALUE,0.2277,1.1,96
2026-05-24 01:57 ET,2026-05-24,San Francisco Giants,Chicago White Sox,2026-05-24T20:06:00Z,draftkings,batter_total_bases,Chase Meidroth,1.5,140,-188,805367.0,hitter,1.78,0.5005,0.3896,0.1109,-0.1109,0.2012,-0.2348,OVER,0.2012,VALUE,0.2213,1.1,96
2026-05-24 01:57 ET,2026-05-24,Atlanta Braves,Washington Nationals,2026-05-24T20:11:00Z,draftkings,batter_hits,Curtis Mead,0.5,-219,163,678554.0,hitter,0.91,0.5488,0.6436,-0.0948,0.0948,-0.2006,0.1867,UNDER,0.1867,VALUE,0.2053,1.1,96
2026-05-24 01:57 ET,2026-05-24,Atlanta Braves,Washington Nationals,2026-05-24T20:11:00Z,draftkings,batter_total_bases,Matt Olson,1.5,112,-148,621566.0,hitter,1.1,0.2944,0.4415,-0.1471,0.1471,-0.3759,0.1824,UNDER,0.1824,VALUE,0.2006,1.1,96
2026-05-24 01:57 ET,2026-05-24,Toronto Blue Jays,Pittsburgh Pirates,2026-05-24T16:16:00Z,draftkings,batter_hits,Jhostynxon Garcia,0.5,-134,101,691373.0,hitter,1.29,0.6764,0.5351,0.1413,-0.1413,0.1811,-0.3495,OVER,0.1811,VALUE,0.1992,1.1,96
2026-05-24 01:57 ET,2026-05-24,San Francisco Giants,Chicago White Sox,2026-05-24T20:06:00Z,draftkings,batter_hits,Matt Chapman,0.5,-152,115,656305.0,hitter,1.42,0.7111,0.5646,0.1465,-0.1465,0.1789,-0.3788,OVER,0.1789,VALUE,0.1968,1.1,88
2026-05-24 01:57 ET,2026-05-24,Kansas City Royals,Seattle Mariners,2026-05-24T18:11:00Z,draftkings,batter_hits,Cole Young,0.5,-217,161,702284.0,hitter,0.91,0.5488,0.6411,-0.0923,0.0923,-0.1983,0.1776,UNDER,0.1776,VALUE,0.1954,1.1,96
2026-05-24 01:57 ET,2026-05-24,Toronto Blue Jays,Pittsburgh Pirates,2026-05-24T16:16:00Z,draftkings,batter_total_bases,Vladimir Guerrero Jr.,1.5,125,-167,665489.0,hitter,1.01,0.2654,0.4154,-0.15,0.15,-0.4029,0.1745,UNDER,0.1745,VALUE,0.192,1.1,96
2026-05-24 01:57 ET,2026-05-24,Toronto Blue Jays,Pittsburgh Pirates,2026-05-24T16:16:00Z,draftkings,batter_rbis,Kazuma Okamoto,0.5,169,-238,672960.0,hitter,0.19,0.173,0.3455,-0.1725,0.1725,-0.5345,0.1744,UNDER,0.1744,VALUE,0.1919,1.1,96
2026-05-24 01:57 ET,2026-05-24,Milwaukee Brewers,Los Angeles Dodgers,2026-05-24T18:11:00Z,draftkings,batter_total_bases,Freddie Freeman,1.5,113,-150,518692.0,hitter,1.11,0.2978,0.439,-0.1412,0.1412,-0.3658,0.1704,UNDER,0.1704,VALUE,0.1874,1.1,96
2026-05-24 01:57 ET,2026-05-24,Miami Marlins,New York Mets,2026-05-24T17:41:00Z,draftkings,batter_hits,Carson Benge,0.5,-237,175,701807.0,hitter,0.98,0.5756,0.6592,-0.0836,0.0836,-0.1815,0.1671,UNDER,0.1671,VALUE,0.1838,1.1,96
2026-05-24 01:57 ET,2026-05-24,Milwaukee Brewers,Los Angeles Dodgers,2026-05-24T18:11:00Z,draftkings,batter_hits,Freddie Freeman,0.5,-240,177,518692.0,hitter,0.99,0.5793,0.6616,-0.0823,0.0823,-0.1793,0.1654,UNDER,0.1654,VALUE,0.1819,1.1,96
2026-05-24 01:57 ET,2026-05-24,Toronto Blue Jays,Pittsburgh Pirates,2026-05-24T16:16:00Z,draftkings,batter_runs_scored,Jhostynxon Garcia,0.5,200,-286,691373.0,hitter,0.49,0.3874,0.3103,0.0771,-0.0771,0.1621,-0.1732,OVER,0.1621,VALUE,0.1783,1.1,96
2026-05-24 01:57 ET,2026-05-24,Atlanta Braves,Washington Nationals,2026-05-24T20:11:00Z,draftkings,batter_total_bases,Michael Harris II,1.5,136,-182,671739.0,hitter,1.75,0.4922,0.3963,0.0958,-0.0958,0.1615,-0.2132,OVER,0.1615,VALUE,0.1777,1.1,96
2026-05-24 01:57 ET,2026-05-24,Chicago Cubs,Houston Astros,2026-05-24T18:21:00Z,draftkings,batter_hits,Alex Bregman,0.5,-201,150,608324.0,hitter,0.878,0.5358,0.6254,-0.0896,0.0896,-0.1976,0.1605,UNDER,0.1605,VALUE,0.1765,1.1,96
2026-05-24 01:57 ET,2026-05-24,Toronto Blue Jays,Pittsburgh Pirates,2026-05-24T16:16:00Z,draftkings,batter_runs_scored,Oneil Cruz,0.5,109,-151,665833.0,hitter,0.36,0.3023,0.443,-0.1407,0.1407,-0.3681,0.1597,UNDER,0.1597,VALUE,0.1757,1.1,96
2026-05-24 01:57 ET,2026-05-24,Atlanta Braves,Washington Nationals,2026-05-24T20:11:00Z,draftkings,batter_hits,Austin Riley,0.5,-228,169,663586.0,hitter,0.963,0.5694,0.6516,-0.0822,0.0822,-0.1809,0.1584,UNDER,0.1584,VALUE,0.1742,1.1,96
2026-05-24 01:57 ET,2026-05-24,Baltimore Orioles,Detroit Tigers,2026-05-24T16:36:00Z,draftkings,batter_hits,Riley Greene,0.5,-223,165,682985.0,hitter,0.95,0.5643,0.6466,-0.0823,0.0823,-0.1826,0.1546,UNDER,0.1546,VALUE,0.17,1.1,96
2026-05-24 01:57 ET,2026-05-24,Boston Red Sox,Minnesota Twins,2026-05-24T17:36:00Z,draftkings,batter_total_bases,Wilyer Abreu,1.5,112,-149,677800.0,hitter,1.145,0.3091,0.4408,-0.1317,0.1317,-0.3447,0.1546,UNDER,0.1546,VALUE,0.17,1.1,96
2026-05-24 01:57 ET,2026-05-24,San Francisco Giants,Chicago White Sox,2026-05-24T20:06:00Z,draftkings,batter_hits,Drew Gilbert,0.5,-117,-114,687551.0,hitter,1.113,0.6223,0.503,0.1193,-0.1193,0.1542,-0.291,OVER,0.1542,VALUE,0.1696,1.1,88
2026-05-24 01:57 ET,2026-05-24,Boston Red Sox,Minnesota Twins,2026-05-24T17:36:00Z,draftkings,batter_hits,Willson Contreras,0.5,-188,141,575929.0,hitter,1.586,0.7501,0.6114,0.1388,-0.1388,0.1491,-0.3978,OVER,0.1491,VALUE,0.1641,1.1,96
2026-05-24 01:57 ET,2026-05-24,Toronto Blue Jays,Pittsburgh Pirates,2026-05-24T16:16:00Z,draftkings,batter_total_bases,George Springer,1.5,130,-173,543807.0,hitter,1.03,0.2719,0.4069,-0.135,0.135,-0.3747,0.149,UNDER,0.149,VALUE,0.1639,1.1,96
2026-05-24 01:57 ET,2026-05-24,Milwaukee Brewers,Los Angeles Dodgers,2026-05-24T18:11:00Z,draftkings,batter_hits,Jake Bauers,0.5,-145,109,641343.0,hitter,1.3,0.6792,0.553,0.1262,-0.1262,0.1476,-0.3295,OVER,0.1476,VALUE,0.1624,1.1,96
2026-05-24 01:57 ET,2026-05-24,Toronto Blue Jays,Pittsburgh Pirates,2026-05-24T16:16:00Z,draftkings,batter_runs_scored,George Springer,0.5,100,-138,543807.0,hitter,0.41,0.3363,0.463,-0.1267,0.1267,-0.3273,0.1446,UNDER,0.1446,VALUE,0.159,1.1,96
2026-05-24 01:57 ET,2026-05-24,Milwaukee Brewers,Los Angeles Dodgers,2026-05-24T18:11:00Z,draftkings,batter_hits,Shohei Ohtani,0.5,-231,171,660271.0,hitter,0.99,0.5793,0.6541,-0.0748,0.0748,-0.1699,0.1401,UNDER,0.1401,VALUE,0.1541,1.1,96
2026-05-24 01:57 ET,2026-05-24,Chicago Cubs,Houston Astros,2026-05-24T18:21:00Z,draftkings,batter_total_bases,Nico Hoerner,1.5,149,-200,663538.0,hitter,0.942,0.2433,0.3759,-0.1327,0.1327,-0.3943,0.1351,UNDER,0.1351,VALUE,0.1486,1.1,96
2026-05-24 01:57 ET,2026-05-24,Chicago Cubs,Houston Astros,2026-05-24T18:21:00Z,draftkings,batter_total_bases,Alex Bregman,1.5,140,-187,608324.0,hitter,1.005,0.2638,0.3901,-0.1263,0.1263,-0.3669,0.1299,UNDER,0.1299,VALUE,0.1429,1.1,96
2026-05-24 01:57 ET,2026-05-24,Toronto Blue Jays,Pittsburgh Pirates,2026-05-24T16:16:00Z,draftkings,batter_hits,Daulton Varsho,0.5,-210,156,662139.0,hitter,0.94,0.5605,0.6343,-0.0738,0.0738,-0.1726,0.1252,UNDER,0.1252,VALUE,0.1377,1.1,96
2026-05-24 01:57 ET,2026-05-24,Baltimore Orioles,Detroit Tigers,2026-05-24T16:36:00Z,draftkings,batter_total_bases,Gunnar Henderson,1.5,137,-183,683002.0,hitter,1.687,0.4746,0.3949,0.0798,-0.0798,0.1249,-0.1875,OVER,0.1249,VALUE,0.1373,1.1,96
2026-05-24 01:57 ET,2026-05-24,Boston Red Sox,Minnesota Twins,2026-05-24T17:36:00Z,draftkings,batter_total_bases,Ceddanne Rafaela,1.5,133,-178,678882.0,hitter,1.056,0.2802,0.4013,-0.1211,0.1211,-0.3471,0.1241,UNDER,0.1241,VALUE,0.1365,1.1,96
2026-05-24 01:57 ET,2026-05-24,Philadelphia Phillies,Cleveland Guardians,2026-05-24T17:36:00Z,draftkings,batter_hits,Alec Bohm,0.5,-199,148,664761.0,hitter,0.905,0.5469,0.6227,-0.0758,0.0758,-0.1782,0.1236,UNDER,0.1236,VALUE,0.1359,1.1,96
2026-05-24 01:57 ET,2026-05-24,New York Yankees,Tampa Bay Rays,2026-05-24T17:36:00Z,draftkings,batter_hits,Trent Grisham,0.5,-138,104,663757.0,hitter,1.204,0.6511,0.5419,0.1092,-0.1092,0.1229,-0.2883,OVER,0.1229,VALUE,0.1352,1.1,96
2026-05-24 01:57 ET,2026-05-24,Baltimore Orioles,Detroit Tigers,2026-05-24T16:36:00Z,draftkings,batter_total_bases,Riley Greene,1.5,127,-169,682985.0,hitter,1.1,0.2945,0.4122,-0.1176,0.1176,-0.3314,0.1229,UNDER,0.1229,VALUE,0.1352,1.1,96
2026-05-24 01:57 ET,2026-05-24,Toronto Blue Jays,Pittsburgh Pirates,2026-05-24T16:16:00Z,draftkings,batter_hits,Ernie Clement,0.5,-198,148,676391.0,hitter,0.91,0.5488,0.6223,-0.0735,0.0735,-0.174,0.119,UNDER,0.119,VALUE,0.1309,1.1,96
2026-05-24 01:57 ET,2026-05-24,Toronto Blue Jays,Pittsburgh Pirates,2026-05-24T16:16:00Z,draftkings,batter_total_bases,Daulton Varsho,1.5,130,-173,662139.0,hitter,1.09,0.2913,0.4069,-0.1156,0.1156,-0.33,0.1183,UNDER,0.1183,VALUE,0.1302,1.1,96
2026-05-24 01:57 ET,2026-05-24,Kansas City Royals,Seattle Mariners,2026-05-24T18:11:00Z,draftkings,batter_total_bases,Cole Young,1.5,140,-187,702284.0,hitter,1.03,0.2719,0.3901,-0.1182,0.1182,-0.3475,0.1175,UNDER,0.1175,VALUE,0.1292,1.1,96
2026-05-24 01:57 ET,2026-05-24,Baltimore Orioles,Detroit Tigers,2026-05-24T16:36:00Z,draftkings,batter_hits,Pete Alonso,0.5,-217,162,624413.0,hitter,1.655,0.7648,0.642,0.1228,-0.1228,0.1173,-0.3839,OVER,0.1173,VALUE,0.129,1.1,96
2026-05-24 01:57 ET,2026-05-24,Atlanta Braves,Washington Nationals,2026-05-24T20:11:00Z,draftkings,batter_total_bases,Curtis Mead,1.5,141,-189,678554.0,hitter,1.03,0.2719,0.3882,-0.1163,0.1163,-0.3448,0.1134,UNDER,0.1134,VALUE,0.1247,1.1,96
2026-05-24 01:57 ET,2026-05-24,Toronto Blue Jays,Pittsburgh Pirates,2026-05-24T16:16:00Z,draftkings,batter_hits,Konnor Griffin,0.5,-163,122,804606.0,hitter,1.33,0.6875,0.5791,0.1084,-0.1084,0.1093,-0.3062,OVER,0.1093,VALUE,0.1202,1.1,96
2026-05-24 01:57 ET,2026-05-24,San Francisco Giants,Chicago White Sox,2026-05-24T20:06:00Z,draftkings,batter_total_bases,Luis Arraez,1.5,128,-171,650333.0,hitter,1.118,0.3005,0.4101,-0.1096,0.1096,-0.3149,0.1086,UNDER,0.1086,VALUE,0.1194,1.1,88
2026-05-24 01:57 ET,2026-05-24,Miami Marlins,New York Mets,2026-05-24T17:41:00Z,draftkings,batter_hits,Juan Soto,0.5,-235,174,665742.0,hitter,1.69,0.7719,0.6578,0.1141,-0.1141,0.1004,-0.375,OVER,0.1004,VALUE,0.1104,1.1,96
2026-05-24 01:57 ET,2026-05-24,Toronto Blue Jays,Pittsburgh Pirates,2026-05-24T16:16:00Z,draftkings,batter_runs_scored,Jake Mangum,0.5,209,-299,663968.0,hitter,0.44,0.356,0.3016,0.0544,-0.0544,0.0999,-0.1406,OVER,0.0999,VALUE,0.1099,1.1,96
2026-05-24 01:57 ET,2026-05-24,Baltimore Orioles,Detroit Tigers,2026-05-24T16:36:00Z,draftkings,batter_hits,Gunnar Henderson,0.5,-213,158,683002.0,hitter,1.577,0.7483,0.6371,0.1111,-0.1111,0.0995,-0.3505,OVER,0.0995,VALUE,0.1095,1.1,96
2026-05-24 01:57 ET,2026-05-24,Boston Red Sox,Minnesota Twins,2026-05-24T17:36:00Z,draftkings,batter_hits,Ceddanne Rafaela,0.5,-199,149,678882.0,hitter,0.937,0.5595,0.6237,-0.0641,0.0641,-0.1593,0.0968,UNDER,0.0968,VALUE,0.1065,1.1,96
2026-05-24 01:57 ET,2026-05-24,Boston Red Sox,Minnesota Twins,2026-05-24T17:36:00Z,draftkings,batter_hits,Wilyer Abreu,0.5,-218,162,677800.0,hitter,0.997,0.582,0.6424,-0.0604,0.0604,-0.1511,0.0952,UNDER,0.0952,VALUE,0.1047,1.1,96
2026-05-24 01:57 ET,2026-05-24,Kansas City Royals,Seattle Mariners,2026-05-24T18:11:00Z,draftkings,batter_hits,Bobby Witt Jr.,1.5,171,-231,677951.0,hitter,0.923,0.2372,0.3459,-0.1087,0.1087,-0.3573,0.0931,UNDER,0.0931,VALUE,0.1024,1.1,96
2026-05-24 01:57 ET,2026-05-24,Atlanta Braves,Washington Nationals,2026-05-24T20:11:00Z,draftkings,batter_hits,Ha-Seong Kim,0.5,-186,139,673490.0,hitter,0.895,0.5429,0.6085,-0.0656,0.0656,-0.1652,0.0924,UNDER,0.0924,VALUE,0.1016,1.1,96
2026-05-24 01:57 ET,2026-05-24,Boston Red Sox,Minnesota Twins,2026-05-24T17:36:00Z,draftkings,batter_hits,Marcelo Mayer,0.5,-180,135,691785.0,hitter,0.878,0.5359,0.6017,-0.0659,0.0659,-0.1665,0.0907,UNDER,0.0907,VALUE,0.0998,1.1,96
2026-05-24 01:57 ET,2026-05-24,Toronto Blue Jays,Pittsburgh Pirates,2026-05-24T16:16:00Z,draftkings,batter_runs_scored,Vladimir Guerrero Jr.,0.5,112,-156,665489.0,hitter,0.41,0.3363,0.4363,-0.1,0.1,-0.2869,0.0891,UNDER,0.0891,VALUE,0.098,1.1,96
2026-05-24 01:57 ET,2026-05-24,San Francisco Giants,Chicago White Sox,2026-05-24T20:06:00Z,draftkings,batter_hits,Chase Meidroth,0.5,-233,172,805367.0,hitter,1.63,0.7596,0.6556,0.1041,-0.1041,0.0856,-0.3462,OVER,0.0856,VALUE,0.0942,1.1,96
2026-05-24 01:57 ET,2026-05-24,Kansas City Royals,Seattle Mariners,2026-05-24T18:11:00Z,draftkings,batter_hits,Salvador Perez,0.5,-230,170,521692.0,hitter,1.61,0.7555,0.653,0.1025,-0.1025,0.0839,-0.3397,OVER,0.0839,VALUE,0.0923,1.1,96
2026-05-24 01:57 ET,2026-05-24,Toronto Blue Jays,Pittsburgh Pirates,2026-05-24T16:16:00Z,draftkings,batter_rbis,Oneil Cruz,0.5,219,-315,665833.0,hitter,0.2,0.1813,0.2923,-0.111,0.111,-0.4218,0.0786,UNDER,0.0786,PASS,0.0865,1.1,96
2026-05-24 01:57 ET,2026-05-24,Toronto Blue Jays,Pittsburgh Pirates,2026-05-24T16:16:00Z,draftkings,batter_hits,Jake Mangum,0.5,-141,106,663968.0,hitter,1.14,0.631,0.5465,0.0845,-0.0845,0.0785,-0.2399,OVER,0.0785,PASS,0.0864,1.1,96
2026-05-24 01:57 ET,2026-05-24,Milwaukee Brewers,Los Angeles Dodgers,2026-05-24T18:11:00Z,draftkings,batter_total_bases,Kyle Tucker,1.5,135,-180,663656.0,hitter,1.14,0.3074,0.3983,-0.0909,0.0909,-0.2775,0.0773,UNDER,0.0773,PASS,0.0851,1.1,96
2026-05-24 01:57 ET,2026-05-24,Miami Marlins,New York Mets,2026-05-24T17:41:00Z,draftkings,batter_hits,Mark Vientos,0.5,-173,130,668901.0,hitter,1.31,0.682,0.5931,0.0889,-0.0889,0.0762,-0.2686,OVER,0.0762,PASS,0.0838,1.1,96
2026-05-24 01:57 ET,2026-05-24,Miami Marlins,New York Mets,2026-05-24T17:41:00Z,draftkings,batter_hits,Xavier Edwards,1.5,169,-228,669364.0,hitter,0.97,0.2524,0.3484,-0.096,0.096,-0.321,0.0755,UNDER,0.0755,PASS,0.083,1.1,96
2026-05-24 01:57 ET,2026-05-24,Boston Red Sox,Minnesota Twins,2026-05-24T17:36:00Z,draftkings,batter_total_bases,Willson Contreras,1.5,124,-165,575929.0,hitter,1.704,0.4794,0.4176,0.0618,-0.0618,0.0738,-0.1638,OVER,0.0738,PASS,0.0811,1.1,96
2026-05-24 01:57 ET,2026-05-24,Miami Marlins,New York Mets,2026-05-24T17:41:00Z,draftkings,batter_hits,A.J. Ewing,0.5,-152,114,805999.0,hitter,1.19,0.6468,0.5635,0.0833,-0.0833,0.0723,-0.2441,OVER,0.0723,PASS,0.0796,1.1,96
2026-05-24 01:57 ET,2026-05-24,Toronto Blue Jays,Pittsburgh Pirates,2026-05-24T16:16:00Z,draftkings,batter_rbis,Ernie Clement,0.5,246,-357,676391.0,hitter,0.37,0.3093,0.2701,0.0392,-0.0392,0.0701,-0.1158,OVER,0.0701,PASS,0.0771,1.1,96
2026-05-24 01:57 ET,2026-05-24,Atlanta Braves,Washington Nationals,2026-05-24T20:11:00Z,draftkings,batter_hits,Michael Harris II,0.5,-229,170,671739.0,hitter,1.557,0.7438,0.6527,0.0911,-0.0911,0.0685,-0.3081,OVER,0.0685,PASS,0.0754,1.1,96
2026-05-24 01:57 ET,2026-05-24,Philadelphia Phillies,Cleveland Guardians,2026-05-24T17:36:00Z,draftkings,batter_hits,Brandon Marsh,0.5,-130,-102,669016.0,hitter,1.051,0.6013,0.5282,0.0731,-0.0731,0.0638,-0.2103,OVER,0.0638,PASS,0.0701,1.1,96
2026-05-24 01:57 ET,2026-05-24,Atlanta Braves,Washington Nationals,2026-05-24T20:11:00Z,draftkings,batter_hits,CJ Abrams,0.5,-224,166,682928.0,hitter,1.52,0.7353,0.6478,0.0876,-0.0876,0.0636,-0.296,OVER,0.0636,PASS,0.07,1.1,96
2026-05-24 01:57 ET,2026-05-24,Milwaukee Brewers,Los Angeles Dodgers,2026-05-24T18:11:00Z,draftkings,batter_hits,Mookie Betts,0.5,-227,168,605141.0,hitter,1.52,0.7353,0.6504,0.0849,-0.0849,0.0593,-0.2907,OVER,0.0593,PASS,0.0652,1.1,96
