player_type,team,opponent,player_name,mlb_id,lineup_spot,pos,lineup_status,proj_pa,proj_ip,proj_outs,proj_runs_allowed,proj_hits_allowed,proj_strikeouts,proj_walks,proj_hits,proj_runs,proj_rbi,proj_hrrbi,proj_hr,used_fallback,confidence_score,proj_pa_confidence_score,proj_hits_confidence_score,proj_hr_confidence_score,proj_strikeouts_confidence_score,proj_runs_confidence_score,proj_rbi_confidence_score,proj_hrrbi_confidence_score,proj_walks_confidence_score,confidence,proj_pa_confidence,proj_hits_confidence,proj_hr_confidence,proj_strikeouts_confidence,proj_runs_confidence,proj_rbi_confidence,proj_hrrbi_confidence,proj_walks_confidence,game_date
pitcher,WSH,MIA,Cade Cavalli,676917,,,,,5.11,15.0,2.49,4.68,5.36,1.66,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-01
pitcher,MIA,WSH,Sandy Alcantara,645261,,,,,4.96,15.0,2.74,5.16,4.15,1.76,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-01
pitcher,MIN,CWS,Joe Ryan,657746,,,,,4.64,14.0,2.4,4.56,4.75,1.63,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-01
pitcher,SF,MIL,Landen Roupp,694738,,,,,5.18,16.0,2.58,4.6,5.73,1.97,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-01
pitcher,STL,TEX,Michael McGreevy,700241,,,,,4.86,15.0,2.61,4.83,4.5,1.61,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-01
pitcher,TEX,STL,Jacob deGrom,594798,,,,,5.48,16.0,2.22,4.08,7.38,1.3,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-01
pitcher,LAA,COL,José Soriano,667755,,,,,5.43,16.0,2.45,4.39,5.93,2.08,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-01
pitcher,COL,LAA,Kyle Freeland,607536,,,,,4.55,14.0,2.71,5.05,3.51,1.87,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-01
pitcher,AZ,LAD,Eduardo Rodriguez,593958,,,,,5.25,16.0,2.72,5.37,5.07,1.89,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-01
pitcher,LAD,AZ,Emmet Sheehan,686218,,,,,5.09,15.0,2.4,4.69,5.7,1.44,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-01
pitcher,SEA,NYM,Emerson Hancock,676106,,,,,5.39,16.0,2.55,4.8,6.3,1.51,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-01
hitter,TB,DET,Yandy Díaz,650490,1.0,DH,Confirmed,4.32,,,,,0.42,0.53,0.68,0.39,0.25,1.32,0.04,False,82.0,86.0,82.0,74.0,79.0,77.0,77.0,78.0,80.0,high,high,high,medium,medium,medium,medium,medium,high,2026-06-01
hitter,TB,DET,Jonathan Aranda,666018,2.0,1B,Confirmed,4.1,,,,,0.72,0.71,0.4,0.32,0.16,0.87,0.04,False,82.0,86.0,82.0,74.0,79.0,77.0,77.0,78.0,80.0,high,high,high,medium,medium,medium,medium,medium,high,2026-06-01
hitter,TB,DET,Richie Palacios,680700,3.0,2B,Confirmed,3.62,,,,,0.56,0.41,0.51,0.29,0.2,1.01,0.01,False,82.0,86.0,82.0,74.0,79.0,77.0,77.0,78.0,80.0,high,high,high,medium,medium,medium,medium,medium,high,2026-06-01
hitter,TB,DET,Junior Caminero,691406,4.0,3B,Confirmed,4.41,,,,,0.6,0.74,0.56,0.4,0.25,1.21,0.06,False,82.0,86.0,82.0,74.0,79.0,77.0,77.0,78.0,80.0,high,high,high,medium,medium,medium,medium,medium,high,2026-06-01
hitter,TB,DET,Chandler Simpson,802415,5.0,LF,Confirmed,4.1,,,,,0.38,0.31,0.71,0.34,0.26,1.31,0.0,False,82.0,86.0,82.0,74.0,79.0,77.0,77.0,78.0,80.0,high,high,high,medium,medium,medium,medium,medium,high,2026-06-01
hitter,TB,DET,Victor Mesa Jr.,683748,6.0,RF,Confirmed,4.13,,,,,0.73,0.25,0.9,0.37,0.36,1.63,0.04,True,40.0,44.0,40.0,32.0,37.0,35.0,35.0,36.0,38.0,low,low,low,low,low,low,low,low,low,2026-06-01
