player_type,team,opponent,player_name,mlb_id,lineup_spot,pos,lineup_status,proj_pa,proj_ip,proj_outs,proj_runs_allowed,proj_hits_allowed,proj_strikeouts,proj_walks,proj_hits,proj_runs,proj_rbi,proj_hrrbi,proj_hr,used_fallback,confidence_score,proj_pa_confidence_score,proj_hits_confidence_score,proj_hr_confidence_score,proj_strikeouts_confidence_score,proj_runs_confidence_score,proj_rbi_confidence_score,proj_hrrbi_confidence_score,proj_walks_confidence_score,confidence,proj_pa_confidence,proj_hits_confidence,proj_hr_confidence,proj_strikeouts_confidence,proj_runs_confidence,proj_rbi_confidence,proj_hrrbi_confidence,proj_walks_confidence,game_date
pitcher,CLE,TB,Parker Messick,800048,,,,,5.19,16.0,2.39,4.66,6.29,1.68,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-27
pitcher,TB,CLE,Steven Matz,571927,,,,,5.07,15.0,2.52,4.38,4.82,1.84,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-27
pitcher,STL,PIT,Dustin May,669160,,,,,5.28,16.0,2.62,4.93,6.04,1.88,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-27
pitcher,TOR,BOS,Dylan Cease,656302,,,,,5.1,15.0,2.37,4.41,6.52,2.01,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-27
pitcher,BOS,TOR,Ranger Suarez,624133,,,,,5.21,16.0,2.48,4.74,4.64,1.71,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-27
pitcher,MIN,SEA,Connor Prielipp,687570,,,,,4.81,14.0,2.29,4.09,4.64,1.96,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-27
pitcher,SEA,MIN,Luis Castillo,622491,,,,,5.48,16.0,2.71,4.79,4.99,2.28,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-27
pitcher,CWS,LAA,Anthony Kay,641743,,,,,4.41,13.0,2.18,4.44,4.02,1.45,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-27
pitcher,LAA,CWS,Jack Kochanowicz,686799,,,,,5.58,17.0,2.46,4.48,6.08,2.18,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-27
pitcher,TEX,NYY,Jack Leiter,683004,,,,,5.72,17.0,2.69,4.91,5.52,2.2,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-27
pitcher,NYY,TEX,Max Fried,608331,,,,,5.25,16.0,2.64,4.53,5.26,2.08,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-27
pitcher,SD,CHC,Randy Vásquez,681190,,,,,5.65,17.0,2.24,3.99,6.8,1.98,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-27
pitcher,CHC,SD,Matthew Boyd,571510,,,,,5.01,15.0,2.39,4.26,4.96,1.83,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-27
pitcher,LAD,MIA,Yoshinobu Yamamoto,808967,,,,,5.64,17.0,2.39,4.53,6.58,2.03,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-27
