player_type,team,opponent,player_name,mlb_id,lineup_spot,pos,lineup_status,proj_pa,proj_ip,proj_outs,proj_runs_allowed,proj_hits_allowed,proj_strikeouts,proj_walks,proj_hits,proj_runs,proj_rbi,proj_hrrbi,proj_hr,used_fallback,confidence_score,proj_pa_confidence_score,proj_hits_confidence_score,proj_hr_confidence_score,proj_strikeouts_confidence_score,proj_runs_confidence_score,proj_rbi_confidence_score,proj_hrrbi_confidence_score,proj_walks_confidence_score,confidence,proj_pa_confidence,proj_hits_confidence,proj_hr_confidence,proj_strikeouts_confidence,proj_runs_confidence,proj_rbi_confidence,proj_hrrbi_confidence,proj_walks_confidence,game_date
pitcher,NYM,PIT,Freddy Peralta,642547,,,,,5.24,16.0,2.73,5.07,4.1,1.67,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-26
pitcher,PIT,NYM,Paul Skenes,694973,,,,,5.04,15.0,2.15,4.04,6.01,2.09,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-26
pitcher,MIL,CWS,Jacob Misiorowski,694819,,,,,3.9,12.0,2.37,4.61,3.55,2.01,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-26
pitcher,CWS,MIL,Shane Smith,681343,,,,,5.55,17.0,1.85,3.75,6.69,1.38,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-26
pitcher,CHC,WSH,Matthew Boyd,571510,,,,,6.2,19.0,1.95,3.64,6.7,1.75,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-26
pitcher,WSH,CHC,Cade Cavalli,676917,,,,,5.18,16.0,2.71,5.27,5.26,1.29,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-26
pitcher,BAL,MIN,Trevor Rogers,669432,,,,,6.21,19.0,2.72,5.16,7.35,1.6,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-26
pitcher,MIN,BAL,Joe Ryan,657746,,,,,5.71,17.0,2.86,4.9,4.95,1.97,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-26
pitcher,CIN,BOS,Andrew Abbott,671096,,,,,5.59,17.0,2.88,5.67,4.84,1.4,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-26
pitcher,BOS,CIN,Garrett Crochet,676979,,,,,5.55,17.0,2.7,4.99,8.11,2.1,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-26
pitcher,HOU,LAA,Hunter Brown,686613,,,,,4.61,14.0,2.72,5.97,5.33,1.84,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-26
pitcher,LAA,HOU,José Soriano,667755,,,,,4.43,13.0,2.79,5.52,4.1,2.34,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-26
pitcher,SD,DET,Nick Pivetta,601713,,,,,6.05,18.0,2.21,4.22,6.71,1.2,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-26
pitcher,DET,SD,Tarik Skubal,669373,,,,,6.37,19.0,2.21,5.23,8.12,0.8,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-26
pitcher,STL,TB,Matthew Liberatore,669461,,,,,5.74,17.0,2.61,5.59,7.22,1.81,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-26
pitcher,TB,STL,Drew Rasmussen,656876,,,,,4.95,15.0,1.9,3.87,5.31,1.47,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-26
pitcher,PHI,TEX,Cristopher Sánchez,650911,,,,,6.67,20.0,2.55,5.46,6.15,1.64,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-26
pitcher,TEX,PHI,Nathan Eovaldi,543135,,,,,6.28,19.0,2.28,4.71,6.57,1.62,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-26
pitcher,LAD,AZ,Yoshinobu Yamamoto,808967,,,,,5.33,16.0,2.75,6.38,6.7,1.41,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-26
pitcher,AZ,LAD,Zac Gallen,668678,,,,,4.46,13.0,3.21,5.59,3.53,2.21,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-26
pitcher,SEA,CLE,Logan Gilbert,669302,,,,,5.34,16.0,2.94,5.58,4.69,1.76,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-26
pitcher,CLE,SEA,Tanner Bibee,676440,,,,,5.11,15.0,2.68,5.29,5.13,2.42,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-26
hitter,NYM,PIT,Francisco Lindor,596019,1.0,SS,Confirmed,4.14,,,,,0.87,1.13,0.85,0.58,0.31,1.74,0.05,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-03-26
hitter,NYM,PIT,Juan Soto,665742,2.0,LF,Confirmed,4.01,,,,,0.4,0.71,0.48,0.35,0.19,1.02,0.05,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-03-26
hitter,NYM,PIT,Bo Bichette,666182,3.0,3B,Confirmed,3.91,,,,,0.85,0.61,1.26,0.91,0.87,3.04,0.5,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-03-26
hitter,NYM,PIT,Jorge Polanco,593871,4.0,1B,Confirmed,3.8,,,,,0.38,0.13,0.88,0.4,0.36,1.64,0.04,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-03-26
hitter,NYM,PIT,Luis Robert Jr.,673357,5.0,CF,Confirmed,3.74,,,,,0.37,0.13,0.45,0.23,0.2,0.87,0.04,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-03-26
hitter,NYM,PIT,Brett Baty,683146,6.0,DH,Confirmed,3.63,,,,,0.36,0.12,0.44,0.19,0.19,0.82,0.04,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-03-26
hitter,NYM,PIT,Marcus Semien,543760,7.0,2B,Confirmed,3.57,,,,,2.16,0.12,0.43,0.19,0.17,0.79,0.04,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-03-26
hitter,NYM,PIT,Carson Benge,701807,8.0,RF,Confirmed,3.5,,,,,0.35,0.12,0.42,0.19,0.16,0.77,0.04,True,40.0,44.0,40.0,32.0,37.0,35.0,35.0,36.0,38.0,low,low,low,low,low,low,low,low,low,2026-03-26
hitter,NYM,PIT,Francisco Alvarez,682626,9.0,C,Confirmed,3.67,,,,,1.99,0.12,0.44,0.2,0.17,0.81,0.04,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-03-26
hitter,PIT,NYM,Oneil Cruz,665833,1.0,CF,Confirmed,4.36,,,,,2.61,0.15,0.52,0.27,0.2,0.99,0.05,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-03-26
hitter,PIT,NYM,Brandon Lowe,664040,2.0,2B,Confirmed,4.22,,,,,2.14,0.74,0.51,0.37,0.2,1.07,0.05,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-03-26
hitter,PIT,NYM,Bryan Reynolds,668804,3.0,LF,Confirmed,4.11,,,,,0.41,0.14,1.73,0.74,0.68,3.15,0.05,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-03-26
