game_date,player_name,mlb_id,kind,market,line,side,ev,score,sportsbook,odds,proj_value,actual_value,result,profit_units
2026-05-08,Taylor Ward,621493,hitter,batter_hits,0.5,OVER,0.325,0.3575,draftkings,-222,2.347,0.0,MISS,-1.0
2026-05-08,Xavier Edwards,669364,hitter,batter_hits,0.5,OVER,0.3133,0.3447,draftkings,-265,3.057,1.0,HIT,0.37735849056603776
2026-05-08,Pete Alonso,624413,hitter,batter_hits,0.5,OVER,0.2963,0.3259,draftkings,-240,2.367,1.0,HIT,0.4166666666666667
2026-05-08,Aaron Judge,592450,hitter,batter_hits,0.5,OVER,0.2962,0.3258,draftkings,-203,1.867,1.0,HIT,0.49261083743842365
2026-05-08,J.T. Realmuto,592663,hitter,batter_hits,0.5,OVER,0.2853,0.3138,draftkings,-197,1.737,1.0,HIT,0.5076142131979695
2026-05-08,Javier Sanoja,691594,hitter,batter_hits,0.5,OVER,0.2834,0.3117,draftkings,-187,1.617,0.0,MISS,-1.0
2026-05-08,Jeremiah Jackson,669236,hitter,batter_hits,0.5,OVER,0.2621,0.2883,draftkings,-213,1.787,0.0,MISS,-1.0
2026-05-08,Adley Rutschman,668939,hitter,batter_hits,0.5,OVER,0.2362,0.2598,draftkings,-234,1.847,2.0,HIT,0.42735042735042733
2026-05-08,Bryce Harper,547180,hitter,batter_hits,0.5,OVER,0.181,0.1991,draftkings,-268,1.797,2.0,HIT,0.373134328358209
2026-05-08,Xavier Edwards,669364,hitter,batter_total_bases,1.5,OVER,1.2234,1.3458,draftkings,140,4.74,4.0,HIT,1.4
2026-05-08,Pete Alonso,624413,hitter,batter_total_bases,1.5,OVER,0.8176,0.8994,draftkings,116,3.63,4.0,HIT,1.16
2026-05-08,Connor Norby,681393,hitter,batter_total_bases,1.5,OVER,0.6929,0.7622,draftkings,130,2.85,0.0,MISS,-1.0
2026-05-08,Otto Lopez,672640,hitter,batter_total_bases,1.5,OVER,0.5684,0.6253,draftkings,-102,3.22,3.0,HIT,0.9803921568627451
2026-05-08,Taylor Ward,621493,hitter,batter_total_bases,1.5,OVER,0.5039,0.5543,draftkings,120,2.56,0.0,MISS,-1.0
2026-05-08,Jeremiah Jackson,669236,hitter,batter_total_bases,1.5,OVER,0.2767,0.3043,draftkings,135,1.94,0.0,MISS,-1.0
2026-05-08,Adley Rutschman,668939,hitter,batter_total_bases,1.5,OVER,0.2624,0.2887,draftkings,123,2.03,5.0,HIT,1.23
2026-05-08,Aaron Judge,592450,hitter,batter_total_bases,1.5,OVER,0.1992,0.2192,draftkings,110,2.05,1.0,MISS,-1.0
2026-05-08,Xavier Edwards,669364,hitter,batter_total_bases,1.5,OVER,1.2928,1.4221,draftkings,140,5.436,4.0,HIT,1.4
2026-05-08,Connor Norby,681393,hitter,batter_total_bases,1.5,OVER,0.9141,1.0055,draftkings,130,3.546,0.0,MISS,-1.0
2026-05-08,Pete Alonso,624413,hitter,batter_total_bases,1.5,OVER,0.8932,0.9825,draftkings,110,4.326,4.0,HIT,1.1
2026-05-08,Taylor Ward,621493,hitter,batter_total_bases,1.5,OVER,0.7528,0.8281,draftkings,120,3.256,0.0,MISS,-1.0
2026-05-08,Otto Lopez,672640,hitter,batter_total_bases,1.5,OVER,0.7216,0.7938,draftkings,-102,3.916,3.0,HIT,0.9803921568627451
2026-05-08,Jeremiah Jackson,669236,hitter,batter_total_bases,1.5,OVER,0.6403,0.7043,draftkings,135,2.636,0.0,MISS,-1.0
2026-05-08,Adley Rutschman,668939,hitter,batter_total_bases,1.5,OVER,0.5932,0.6526,draftkings,123,2.726,5.0,HIT,1.23
2026-05-08,Aaron Judge,592450,hitter,batter_total_bases,1.5,OVER,0.5078,0.5586,draftkings,110,2.746,1.0,MISS,-1.0
