fetched_at,game_date,home_team,away_team,commence_time,sportsbook,market,player_name,line,over_odds,under_odds,mlb_id,kind,proj_value,p_over_model,p_over_no_vig,edge_over,edge_under,ev_over,ev_under,side,ev,flag,score,confidence_weight,confidence_score,clv_stage,logged_at
2026-05-08 00:41 ET,2026-05-08,Philadelphia Phillies,Colorado Rockies,2026-05-08T22:41:00Z,draftkings,batter_hits,Kyle Schwarber,0.5,-141,106,656941.0,hitter,1.164,0.7568,0.5465,0.2102,-0.2102,0.2935,-0.499,OVER,0.2935,VALUE,0.3229,1.1,96,open,2026-05-08 00:41 ET
2026-05-08 00:41 ET,2026-05-08,Miami Marlins,Washington Nationals,2026-05-08T23:11:00Z,draftkings,batter_hits,Xavier Edwards,0.5,-265,195,669364.0,hitter,2.604,0.931,0.6817,0.2493,-0.2493,0.2823,-0.7963,OVER,0.2823,VALUE,0.3105,1.1,96,open,2026-05-08 00:41 ET
2026-05-08 00:41 ET,2026-05-08,Baltimore Orioles,Athletics,2026-05-08T23:06:00Z,draftkings,batter_total_bases,Jeremiah Jackson,1.5,135,-180,669236.0,hitter,1.94,0.5433,0.3983,0.145,-0.145,0.2767,-0.2895,OVER,0.2767,VALUE,0.3043,1.1,96,open,2026-05-08 00:41 ET
2026-05-08 00:41 ET,2026-05-08,Baltimore Orioles,Athletics,2026-05-08T23:06:00Z,draftkings,batter_hits,Pete Alonso,0.5,-221,164,624413.0,hitter,1.914,0.8738,0.6451,0.2287,-0.2287,0.2692,-0.6668,OVER,0.2692,VALUE,0.2961,1.1,96,open,2026-05-08 00:41 ET
2026-05-08 00:41 ET,2026-05-08,Baltimore Orioles,Athletics,2026-05-08T23:06:00Z,draftkings,batter_hits,Taylor Ward,0.5,-222,165,621493.0,hitter,1.894,0.8715,0.6463,0.2253,-0.2253,0.2641,-0.6596,OVER,0.2641,VALUE,0.2906,1.1,96,open,2026-05-08 00:41 ET
2026-05-08 00:41 ET,2026-05-08,Baltimore Orioles,Athletics,2026-05-08T23:06:00Z,draftkings,batter_total_bases,Adley Rutschman,1.5,123,-164,668939.0,hitter,2.03,0.5661,0.4192,0.1469,-0.1469,0.2624,-0.3015,OVER,0.2624,VALUE,0.2887,1.1,96,open,2026-05-08 00:41 ET
2026-05-08 00:41 ET,2026-05-08,Baltimore Orioles,Athletics,2026-05-08T23:06:00Z,draftkings,batter_hits,Tyler O'Neill,0.5,-170,128,641933.0,hitter,1.314,0.7867,0.5894,0.1973,-0.1973,0.2494,-0.5136,OVER,0.2494,VALUE,0.2744,1.1,96,open,2026-05-08 00:41 ET
2026-05-08 00:41 ET,2026-05-08,Philadelphia Phillies,Colorado Rockies,2026-05-08T22:41:00Z,draftkings,batter_hits,Bryson Stott,0.5,-178,133,681082.0,hitter,1.324,0.7885,0.5987,0.1898,-0.1898,0.2315,-0.5073,OVER,0.2315,VALUE,0.2547,1.1,96,open,2026-05-08 00:41 ET
2026-05-08 00:41 ET,2026-05-08,Philadelphia Phillies,Colorado Rockies,2026-05-08T22:41:00Z,draftkings,batter_hits,Alec Bohm,0.5,-188,140,664761.0,hitter,1.384,0.7994,0.6104,0.189,-0.189,0.2245,-0.5184,OVER,0.2245,VALUE,0.247,1.1,96,open,2026-05-08 00:41 ET
2026-05-08 00:41 ET,2026-05-08,Miami Marlins,Washington Nationals,2026-05-08T23:11:00Z,draftkings,batter_hits,Christopher Morel,0.5,-168,126,666624.0,hitter,1.194,0.7631,0.5862,0.1769,-0.1769,0.2173,-0.4646,OVER,0.2173,VALUE,0.239,1.1,96,open,2026-05-08 00:41 ET
