feature,importance,target
pitcher_h_rate_vs_hand_L,0.006811703,BB
pitcher_k_rate_vs_hand_L,0.0067058583,BB
pitcher_h_rate_vs_hand_R,0.006358332,BB
BB_last14,0.006109949,BB
outs_last7,0.006109622,BB
H_std,0.0060175727,BB
BF_last21,0.0059202765,BB
pitcher_k_rate_vs_hand_R,0.0054162918,BB
pitcher_hr_rate_vs_hand_R,0.0051935157,BB
pitcher_hr_rate_vs_hand_L,0.005102814,BB
team_k_rate_vs_hand_std,0.004970517,BB
BF_last7,0.004805544,BB
pitcher_bb_rate_vs_hand_last10_L,0.0046944693,BB
K_last10,0.0046779793,BB
pitcher_bb_rate_vs_hand_std_R,0.004668989,BB
team_h_rate_vs_hand,0.004583648,BB
K_std,0.004466677,BB
K_last14,0.004362683,BB
team_hr_rate_vs_hand_std,0.0043304474,BB
H_last14,0.0042813593,BB
K_last7,0.0042118374,BB
BB_rate_std,0.004197981,BB
IP_last7,0.0041790884,BB
pitches_last21,0.0040938654,BB
H_last21,0.004091621,BB
H_last30,0.0039800643,BB
pitches_per_IP_std,0.003894747,BB
team_h_rate_vs_hand_std,0.0038633342,BB
pitcher_hr_rate_vs_hand_std_L,0.0036909683,BB
HR_last30,0.0036148783,BB
HR_last14,0.0035821109,BB
IP_last21,0.003560965,BB
outs_last10,0.0034760535,BB
team_bb_rate_vs_hand_std,0.0034533085,BB
BF_std,0.0033834947,BB
avg_spin_std,0.0033309783,BB
H_rate_last14,0.0032265703,BB
BF_per_IP_std,0.0030531809,BB
pitcher_hr_rate_vs_hand_last10_L,0.0030237834,BB
team_k_rate_vs_hand,0.003022822,BB
days_rest,0.0029189065,BB
avg_velocity_std,0.0028355885,BB
IP_last10,0.002822983,BB
K_last30,0.002812289,BB
H_rate_last21,0.0027917125,BB
pitches_per_BF_std,0.0027861714,BB
HR_rate_std,0.0027256852,BB
team_hr_rate_vs_hand,0.0026677623,BB
max_ip_last10,0.0026299094,BB
IP_std,0.0026077866,BB
pitcher_h_rate_vs_hand_std_L,0.0026023593,BB
team_hr_rate_vs_hand_last10,0.0025803791,BB
team_bb_rate_vs_hand_last10,0.0025734669,BB
BB_rate_last21,0.0025604588,BB
BF_last30,0.0025521086,BB
pitcher_bb_rate_vs_hand_last10_R,0.0025491489,BB
pitcher_bb_rate_vs_hand_std_L,0.0025439882,BB
HR_rate_last7,0.0025406228,BB
pitcher_h_rate_vs_hand_last10_L,0.0025297082,BB
HR_rate_last30,0.0025048195,BB
HR_std,0.002462158,BB
HR_rate_last21,0.0024570639,BB
pitcher_hr_rate_vs_hand_std_R,0.0024357392,BB
pitcher_h_rate_vs_hand_last10_R,0.0024069233,BB
pitcher_k_rate_vs_hand_std_L,0.0024045745,BB
avg_velocity_last10,0.0023925279,BB
IP_last30,0.002382763,BB
avg_velocity_last7,0.0023818123,BB
HR_rate_last14,0.002338365,BB
team_k_rate_vs_hand_last10,0.0023327703,BB
K_rate_last10,0.0022794309,BB
pitcher_k_rate_vs_hand_last10_L,0.0022786902,BB
BB_rate_last10,0.002271094,BB
pitcher_k_rate_vs_hand_std_R,0.0022707053,BB
BB_rate_last14,0.002247201,BB
pitcher_k_rate_vs_hand_last10_R,0.0022448297,BB
BB_rate_last30,0.0021751728,BB
BB_last7,0.0021292982,BB
H_rate_std,0.0021281436,BB
HR_rate_last10,0.002104827,BB
H_rate_last7,0.0020817611,BB
K_rate_std,0.0020742738,BB
H_rate_last30,0.0020727355,BB
H_rate_last10,0.0020623114,BB
K_last21,0.0020607666,BB
BB_rate_last7,0.0020588618,BB
starter_pct_last5,0.0020337207,BB
pitcher_hr_rate_vs_hand_last10_R,0.0020275405,BB
pitches_per_IP_last10,0.0020057808,BB
pitches_per_BF_last10,0.0019567613,BB
pitcher_h_rate_vs_hand_std_R,0.0018863012,BB
HR_last7,0.0018840118,BB
park_factor,0.0018784909,BB
team_h_rate_vs_hand_last10,0.0018550255,BB
BF_per_IP_last10,0.0018536268,BB
K_rate_last7,0.001796953,BB
K_rate_last21,0.0017540435,BB
HR_last21,0.0016518199,BB
HR_last10,0.0016271292,BB
K_rate_last30,0.0015783497,BB
K_rate_last14,0.0015439016,BB
outs_last21,0.0015018204,BB
outs_std,0.0011488483,BB
outs_last30,0.0,BB
team_hr_rate_vs_hand,0.22582516,HR
pitcher_hr_rate_vs_hand_L,0.22090459,HR
pitcher_hr_rate_vs_hand_R,0.16907267,HR
BB_last30,0.029172478,HR
BF_last3,0.015054407,HR
K_last10,0.01243959,HR
pitcher_h_rate_vs_hand_R,0.01207156,HR
max_ip_last5,0.011684581,HR
pitcher_h_rate_vs_hand_L,0.010628055,HR
K_last14,0.009542606,HR
HR_rate_std,0.00812594,HR
starter_pct_last10,0.0072437995,HR
IP_last7,0.0071973368,HR
H_last21,0.0067303483,HR
team_h_rate_vs_hand,0.006711535,HR
K_last21,0.0059746406,HR
BB_last14,0.005485194,HR
K_rate_last14,0.005264996,HR
BF_last30,0.005243289,HR
K_last7,0.005120792,HR
BF_last7,0.0049990523,HR
BB_rate_last7,0.004997786,HR
BB_last21,0.004633756,HR
max_ip_last10,0.0045431205,HR
pitches_per_IP_last10,0.004264761,HR
pitcher_k_rate_vs_hand_L,0.004255308,HR
BF_last14,0.004200062,HR
H_last7,0.004147375,HR
H_last10,0.004017071,HR
outs_last3,0.0038558787,HR
avg_velocity_std,0.003596932,HR
team_hr_rate_vs_hand_std,0.0035576862,HR
BB_rate_last30,0.0035540743,HR
H_last14,0.0035117867,HR
K_std,0.0034915686,HR
pitches_last14,0.0033016126,HR
pitcher_bb_rate_vs_hand_L,0.0032312328,HR
pitcher_k_rate_vs_hand_last10_L,0.0031692146,HR
IP_last21,0.0031065478,HR
H_last30,0.0030248356,HR
pitches_last3,0.0027054613,HR
IP_last10,0.0026933972,HR
pitches_last7,0.002651531,HR
team_h_rate_vs_hand_std,0.002650233,HR
BF_per_IP_last10,0.0026475093,HR
HR_last30,0.0026019793,HR
pitches_last21,0.0025172587,HR
starter_pct_last5,0.002497414,HR
HR_last7,0.0024615554,HR
K_last30,0.0024536252,HR
outs_last7,0.0024059452,HR
pitcher_hr_rate_vs_hand_last10_L,0.002372576,HR
BF_std,0.002348713,HR
team_h_rate_vs_hand_last10,0.0023030366,HR
pitcher_k_rate_vs_hand_R,0.0022812986,HR
avg_spin_std,0.0022259755,HR
avg_velocity_last7,0.0021995944,HR
team_k_rate_vs_hand_std,0.0021979222,HR
pitcher_h_rate_vs_hand_last10_L,0.0021785083,HR
pitches_std,0.0021469428,HR
K_rate_std,0.002145889,HR
pitches_per_IP_std,0.0020812012,HR
HR_last14,0.0020802314,HR
pitcher_bb_rate_vs_hand_R,0.0020626057,HR
H_rate_last21,0.001984961,HR
pitcher_bb_rate_vs_hand_std_R,0.0019738679,HR
team_bb_rate_vs_hand,0.0019677307,HR
pitcher_hr_rate_vs_hand_std_L,0.0019006997,HR
IP_last14,0.001886096,HR
BB_last10,0.0018835338,HR
pitches_per_BF_last10,0.0018800364,HR
BF_per_IP_std,0.0018631975,HR
team_hr_rate_vs_hand_last10,0.0018114573,HR
pitcher_bb_rate_vs_hand_last10_R,0.0017978654,HR
H_rate_last14,0.0017606862,HR
avg_velocity_last10,0.001745869,HR
pitcher_hr_rate_vs_hand_last10_R,0.0017435064,HR
team_bb_rate_vs_hand_last10,0.0017045181,HR
K_rate_last30,0.0016980326,HR
team_bb_rate_vs_hand_std,0.0016968405,HR
H_rate_std,0.001674512,HR
BB_rate_last10,0.0016582027,HR
BF_last10,0.0015611979,HR
team_k_rate_vs_hand,0.0015607986,HR
HR_rate_last10,0.0015493573,HR
outs_last10,0.0015483215,HR
HR_rate_last21,0.0015029266,HR
K_rate_last21,0.0014718147,HR
pitches_last10,0.001470524,HR
pitcher_bb_rate_vs_hand_last10_L,0.0014583988,HR
outs_last14,0.0014354421,HR
pitcher_h_rate_vs_hand_std_L,0.0014190872,HR
H_rate_last10,0.0014107265,HR
pitcher_h_rate_vs_hand_last10_R,0.0013867042,HR
pitcher_k_rate_vs_hand_std_L,0.0013814406,HR
HR_std,0.0013783636,HR
park_factor,0.0013725355,HR
HR_last10,0.0013538135,HR
outs_std,0.0013382547,HR
pitcher_k_rate_vs_hand_std_R,0.0013331412,HR
pitcher_bb_rate_vs_hand_std_L,0.0012905494,HR
H_std,0.001269448,HR
pitches_last30,0.0012676182,HR
pitches_per_BF_std,0.0012636208,HR
HR_rate_last14,0.0012533099,HR
H_rate_last30,0.0012398937,HR
team_k_rate_vs_hand_last10,0.0012134642,HR
BB_rate_last21,0.0011668158,HR
outs_last21,0.0011512314,HR
BB_rate_last14,0.0011211592,HR
BB_rate_std,0.0011123252,HR
BB_std,0.0010938849,HR
HR_last21,0.0010922309,HR
IP_std,0.0010784765,HR
BB_last7,0.0010778636,HR
K_rate_last7,0.0010731663,HR
HR_rate_last7,0.0010655008,HR
pitcher_k_rate_vs_hand_last10_R,0.0010230306,HR
pitcher_hr_rate_vs_hand_std_R,0.0009438684,HR
BF_last21,0.00091212423,HR
H_rate_last7,0.00088383217,HR
days_rest,0.00079136534,HR
outs_last30,0.00077087164,HR
K_rate_last10,0.0007432637,HR
pitcher_h_rate_vs_hand_std_R,0.0007159705,HR
IP_last30,0.0006029962,HR
HR_rate_last30,0.00035394751,HR
team_h_rate_vs_hand,0.13744968,H
pitcher_h_rate_vs_hand_R,0.10087897,H
pitcher_h_rate_vs_hand_L,0.059226412,H
BF_std,0.041016016,H
BF_last3,0.041015238,H
IP_last14,0.030754102,H
pitches_last7,0.027218958,H
pitches_last3,0.026037585,H
pitches_std,0.024880081,H
pitches_last10,0.023251284,H
max_ip_last5,0.02199487,H
max_ip_last10,0.021071788,H
outs_last14,0.02090585,H
IP_last7,0.02064236,H
outs_last3,0.017223915,H
IP_last21,0.0151474755,H
outs_std,0.014227331,H
pitches_last21,0.011427464,H
H_last7,0.011388117,H
IP_std,0.010148013,H
pitcher_hr_rate_vs_hand_L,0.010027704,H
starter_pct_last10,0.009886073,H
pitches_last30,0.009640984,H
IP_last10,0.0093019055,H
pitches_last14,0.009023152,H
BF_last10,0.00820932,H
outs_last21,0.007560294,H
pitcher_bb_rate_vs_hand_L,0.007504438,H
BF_last30,0.007318732,H
BF_last7,0.007056286,H
H_last10,0.006933963,H
pitcher_bb_rate_vs_hand_R,0.006555657,H
outs_last7,0.006480816,H
days_rest,0.00583445,H
pitcher_k_rate_vs_hand_L,0.005830119,H
pitcher_hr_rate_vs_hand_R,0.0057673156,H
pitcher_k_rate_vs_hand_R,0.0053428435,H
IP_last30,0.005089547,H
K_last10,0.0042916117,H
H_last30,0.0042187246,H
H_std,0.003991771,H
K_last7,0.003915936,H
team_bb_rate_vs_hand,0.0037712324,H
team_hr_rate_vs_hand_std,0.0036317457,H
H_last14,0.0035434759,H
pitcher_hr_rate_vs_hand_std_R,0.0033360587,H
HR_rate_last14,0.0032892544,H
HR_std,0.0032197349,H
BF_last14,0.003081561,H
K_last21,0.0030181068,H
BF_last21,0.0028181754,H
HR_rate_last30,0.0027129948,H
team_h_rate_vs_hand_std,0.0027108253,H
avg_spin_std,0.0026611304,H
team_hr_rate_vs_hand,0.0026355807,H
HR_rate_last10,0.002578701,H
pitcher_hr_rate_vs_hand_last10_L,0.0025731144,H
pitcher_h_rate_vs_hand_last10_L,0.002508653,H
pitcher_bb_rate_vs_hand_last10_R,0.0024399406,H
pitcher_hr_rate_vs_hand_std_L,0.0023906548,H
HR_last30,0.0023905355,H
HR_last7,0.0023487452,H
starter_pct_last5,0.0023457531,H
avg_velocity_last10,0.0023334236,H
team_k_rate_vs_hand,0.002323352,H
team_bb_rate_vs_hand_std,0.0023143915,H
pitcher_bb_rate_vs_hand_std_R,0.0022789764,H
K_rate_std,0.002240569,H
pitcher_k_rate_vs_hand_std_R,0.0022385211,H
HR_rate_std,0.0022367495,H
pitcher_k_rate_vs_hand_std_L,0.0022058554,H
K_last14,0.002190923,H
K_last30,0.0021315494,H
HR_rate_last21,0.0021182438,H
pitcher_k_rate_vs_hand_last10_L,0.0020864853,H
pitches_per_IP_std,0.0020744607,H
K_rate_last30,0.0020433147,H
pitcher_hr_rate_vs_hand_last10_R,0.0020282757,H
BB_last30,0.0020145453,H
pitcher_bb_rate_vs_hand_last10_L,0.0020092723,H
BB_rate_last21,0.0019877758,H
avg_velocity_last7,0.0019874673,H
BB_last14,0.0019829948,H
BB_last21,0.0019563674,H
K_rate_last21,0.0019515074,H
BF_per_IP_std,0.0019462014,H
H_rate_std,0.0019026988,H
pitcher_bb_rate_vs_hand_std_L,0.0018617923,H
K_rate_last10,0.001842286,H
pitches_per_IP_last10,0.0018318892,H
outs_last30,0.0018292919,H
H_rate_last10,0.0018028256,H
team_k_rate_vs_hand_last10,0.0017711797,H
BB_rate_last10,0.0017673329,H
pitcher_k_rate_vs_hand_last10_R,0.0017666289,H
team_k_rate_vs_hand_std,0.0017499633,H
H_rate_last7,0.0017461329,H
HR_rate_last7,0.0017334668,H
pitches_per_BF_last10,0.0017263703,H
BB_last10,0.0017122071,H
BB_rate_std,0.001685881,H
H_last21,0.0016666307,H
team_h_rate_vs_hand_last10,0.001664883,H
BB_rate_last30,0.0016330045,H
BB_rate_last14,0.0016233178,H
K_rate_last14,0.0016196968,H
pitches_per_BF_std,0.001613841,H
HR_last10,0.0016028209,H
pitcher_h_rate_vs_hand_std_R,0.0016005981,H
pitcher_h_rate_vs_hand_std_L,0.0015868475,H
pitcher_h_rate_vs_hand_last10_R,0.0015667831,H
avg_velocity_std,0.0015453324,H
team_bb_rate_vs_hand_last10,0.0015355041,H
BB_rate_last7,0.0015317521,H
H_rate_last30,0.0015248589,H
H_rate_last14,0.0015202333,H
HR_last21,0.0014842186,H
BB_std,0.0014744743,H
K_rate_last7,0.0014701819,H
BF_per_IP_last10,0.0014506456,H
K_std,0.0014359803,H
H_rate_last21,0.0014186441,H
team_hr_rate_vs_hand_last10,0.0014143583,H
HR_last14,0.001405997,H
park_factor,0.0012681149,H
outs_last10,0.0011616279,H
BB_last7,0.0010753297,H
pitches_std,0.16108848,IP
pitches_last30,0.08677036,IP
pitches_last7,0.077110946,IP
BF_last3,0.06494847,IP
pitches_last3,0.044445563,IP
BF_std,0.026469847,IP
team_bb_rate_vs_hand,0.024761133,IP
pitcher_h_rate_vs_hand_R,0.022882896,IP
IP_last30,0.022508074,IP
team_h_rate_vs_hand,0.022069963,IP
max_ip_last5,0.02203521,IP
pitcher_bb_rate_vs_hand_R,0.019163268,IP
pitcher_h_rate_vs_hand_L,0.019161826,IP
starter_pct_last5,0.019051587,IP
pitcher_bb_rate_vs_hand_L,0.018624185,IP
outs_last3,0.014114619,IP
pitches_last10,0.014020666,IP
outs_last10,0.011491234,IP
pitcher_k_rate_vs_hand_R,0.009382015,IP
outs_last21,0.009086512,IP
BF_last30,0.009056924,IP
days_rest,0.008720407,IP
IP_std,0.008718792,IP
outs_last14,0.008653462,IP
BF_last7,0.008232523,IP
max_ip_last10,0.007907664,IP
IP_last14,0.006931043,IP
K_last10,0.006552157,IP
starter_pct_last10,0.006518244,IP
pitcher_k_rate_vs_hand_L,0.006142003,IP
pitcher_hr_rate_vs_hand_R,0.0047872635,IP
BF_last21,0.004178953,IP
IP_last7,0.0038245823,IP
pitches_last21,0.003785612,IP
pitcher_hr_rate_vs_hand_L,0.0037825152,IP
HR_last7,0.003517204,IP
BB_rate_last30,0.003434147,IP
pitcher_hr_rate_vs_hand_std_R,0.0034114202,IP
H_last30,0.0033745612,IP
H_last10,0.0032877298,IP
K_rate_last30,0.003275755,IP
HR_last30,0.002998324,IP
pitcher_bb_rate_vs_hand_std_R,0.002949242,IP
BB_last30,0.0029316952,IP
BF_per_IP_std,0.0027268769,IP
H_last21,0.0026988336,IP
HR_std,0.0026506474,IP
BF_last10,0.002649559,IP
avg_velocity_last10,0.0026443538,IP
pitcher_h_rate_vs_hand_std_R,0.0026372985,IP
H_std,0.0026127729,IP
BB_last21,0.0025285862,IP
team_k_rate_vs_hand,0.0025150566,IP
IP_last10,0.0025048766,IP
IP_last21,0.002479886,IP
H_last7,0.0024474135,IP
pitcher_hr_rate_vs_hand_std_L,0.0024386959,IP
H_last14,0.0024385494,IP
BB_std,0.0024158075,IP
BF_last14,0.002390877,IP
pitcher_h_rate_vs_hand_std_L,0.0023677053,IP
pitcher_bb_rate_vs_hand_last10_R,0.002354133,IP
outs_std,0.0023331451,IP
outs_last7,0.0023246007,IP
BF_per_IP_last10,0.0022912398,IP
avg_spin_std,0.0022482025,IP
pitcher_h_rate_vs_hand_last10_L,0.002240008,IP
HR_rate_last21,0.002223561,IP
BB_rate_std,0.0022210903,IP
HR_rate_last7,0.0022055195,IP
pitcher_bb_rate_vs_hand_last10_L,0.0022050913,IP
HR_last14,0.0021663771,IP
HR_rate_std,0.0021457884,IP
pitcher_k_rate_vs_hand_std_R,0.0021410347,IP
team_hr_rate_vs_hand,0.0021233726,IP
team_h_rate_vs_hand_std,0.0021004016,IP
K_rate_last21,0.0020802314,IP
pitches_per_BF_std,0.0020502165,IP
BB_rate_last14,0.002048644,IP
K_rate_last14,0.0020457713,IP
pitcher_k_rate_vs_hand_last10_L,0.0020397643,IP
HR_last21,0.0019950804,IP
K_rate_last7,0.0019892163,IP
K_std,0.0019833704,IP
team_hr_rate_vs_hand_std,0.001969084,IP
BB_rate_last21,0.0019659256,IP
pitches_per_IP_last10,0.0019519639,IP
team_bb_rate_vs_hand_std,0.0019266497,IP
pitcher_k_rate_vs_hand_std_L,0.0018905641,IP
HR_rate_last30,0.0018742158,IP
team_k_rate_vs_hand_std,0.0018422,IP
HR_last10,0.0018332872,IP
K_last7,0.0018322376,IP
pitcher_k_rate_vs_hand_last10_R,0.0018265123,IP
HR_rate_last10,0.0018101702,IP
H_rate_last14,0.0017576535,IP
H_rate_last21,0.001712461,IP
pitcher_hr_rate_vs_hand_last10_L,0.0016997365,IP
pitcher_hr_rate_vs_hand_last10_R,0.0016956669,IP
avg_velocity_std,0.0016898727,IP
pitches_per_IP_std,0.0016770177,IP
K_last14,0.0016670831,IP
pitches_per_BF_last10,0.001648425,IP
park_factor,0.0016453307,IP
pitcher_bb_rate_vs_hand_std_L,0.0016381177,IP
outs_last30,0.0016335428,IP
BB_rate_last7,0.0016192836,IP
team_k_rate_vs_hand_last10,0.0016142565,IP
team_hr_rate_vs_hand_last10,0.0016134199,IP
pitches_last14,0.0016101282,IP
BB_last14,0.001607788,IP
K_rate_std,0.001605716,IP
avg_velocity_last7,0.0015946386,IP
K_rate_last10,0.0015842016,IP
H_rate_last7,0.0015578537,IP
K_last21,0.0015500993,IP
pitcher_h_rate_vs_hand_last10_R,0.0015484273,IP
BB_rate_last10,0.0015393727,IP
team_h_rate_vs_hand_last10,0.0015359126,IP
H_rate_std,0.0014934101,IP
BB_last7,0.0014858322,IP
team_bb_rate_vs_hand_last10,0.0014773734,IP
K_last30,0.0014562656,IP
H_rate_last10,0.0014328214,IP
HR_rate_last14,0.0014256256,IP
BB_last10,0.0013067176,IP
H_rate_last30,0.0012902446,IP
