feature,importance,target
H_last7,0.008715033,HR
bb_rate_std,0.0086352015,HR
hitter_h_rate_vs_hand_std_L,0.008494921,HR
k_rate_std,0.008468828,HR
opp_sp_ip_std,0.008423849,HR
K_last30,0.008308895,HR
avg_LA_last10,0.008221065,HR
hitter_hr_rate_vs_hand_std_L,0.008023142,HR
hitter_k_rate_vs_hand_last10_L,0.007987438,HR
opp_sp_ip_last10,0.0079556545,HR
sweet_spot_proxy_last10,0.007845136,HR
k_rate_last14,0.0077796304,HR
avg_EV_std,0.0077687097,HR
opp_sp_ip,0.007741812,HR
h_rate_last14,0.0075605423,HR
PA_last30,0.0074459016,HR
avg_EV_last10,0.007355594,HR
bb_rate_last7,0.007209679,HR
team_allowed_k_rate_vs_hand_last10,0.0071941763,HR
xbh_proxy_rate_last10,0.0071510337,HR
hitter_h_rate_vs_hand_last10_L,0.0070967567,HR
k_rate_last30,0.0070436513,HR
BB_std,0.007032697,HR
HR_last10,0.006932597,HR
team_allowed_bb_rate_vs_hand_last10,0.006926069,HR
HR_last14,0.0068813697,HR
BB_last30,0.006784515,HR
hitter_bb_rate_vs_hand_std_R,0.0067357835,HR
h_rate_std,0.006725324,HR
k_rate_last7,0.006714285,HR
PA_last7,0.0066824565,HR
hitter_bb_rate_vs_hand_last10_R,0.0066678706,HR
h_tt_bb,0.006636692,HR
sweet_spot_proxy_std,0.0066176523,HR
BB_last10,0.0065032057,HR
hitter_h_rate_vs_hand_std_R,0.0063256077,HR
hitter_bb_rate_vs_hand_std_L,0.0062917364,HR
opp_sp_k_rate_std,0.006273819,HR
team_allowed_hr_rate_vs_hand_last10,0.00623962,HR
PA_last3,0.0062345336,HR
hitter_k_rate_vs_hand_last10_R,0.006196163,HR
opp_sp_bb_rate_last10,0.0060842047,HR
hard_hit_proxy_std,0.006079688,HR
hitter_hr_rate_vs_hand_last10_R,0.006057299,HR
times_on_base_rate_std,0.005996957,HR
team_allowed_h_rate_vs_hand_std,0.0059824893,HR
HR_last21,0.0059677213,HR
